id,temperature,temp_delta_c,humidity,weight,bee_activity,pressure,voc_ppm,acoustic_hz,ir_entrance_in,ir_entrance_out,pir_motion,battery_v,solar_w,hour_of_day,season_code,health_score,health_status,disease_risk,estimated_harvest_kg
1,34.19,5.4,57.9,42.99,0.2,1013.6,63.1,233.7,10,6,0,3.89,0.0,20,0,96,0,0.08,20.6
2,34.62,5.2,65.5,37.49,1.0,1006.3,30.3,238.2,84,85,0,3.93,0.0,17,3,89,0,0.02,18.3
3,34.57,5.6,48.4,26.69,0.47,1008.9,120.9,198.6,43,46,0,3.77,5.9,8,0,73,1,0.41,7.4
4,34.09,5.2,58.5,33.77,1.0,1005.8,72.1,232.7,78,83,0,3.94,8.9,11,1,96,0,0.08,14.8
5,38.4,7.4,88.0,24.99,0.47,1004.3,216.7,520.5,1,22,0,3.34,0.0,1,1,68,2,0.52,5.9
6,28.88,-1.6,39.6,26.27,0.45,1021.3,169.1,426.6,0,-11,0,3.32,0.0,18,3,59,2,0.58,7.0
7,34.58,1.9,74.4,34.08,0.71,1010.2,92.3,325.4,5,18,0,3.68,0.0,0,0,79,1,0.23,14.4
8,34.03,5.0,67.4,30.43,0.29,1011.6,71.5,242.1,7,9,0,4.12,0.0,6,1,88,0,0.04,10.3
9,35.92,4.2,49.8,31.39,0.61,1007.6,93.2,208.4,1,-6,0,3.83,0.0,2,0,76,1,0.39,11.8
10,34.52,3.1,56.6,42.95,0.21,999.7,40.1,221.8,10,8,0,3.82,0.0,21,2,88,0,0.02,20.6
11,33.03,1.6,77.4,25.32,0.63,1021.6,122.1,358.5,3,-6,0,3.64,0.0,7,2,71,1,0.42,6.4
12,34.28,5.9,66.2,39.28,0.22,1013.7,41.2,216.7,9,6,0,4.15,0.0,3,0,96,0,0.06,17.6
13,42.62,6.5,91.9,16.65,0.22,1016.8,302.1,642.2,0,51,1,3.27,0.9,17,0,42,3,0.86,0.0
14,34.22,5.9,67.6,31.1,0.2,1002.5,56.1,229.0,7,2,0,4.0,0.0,21,3,96,0,0.02,10.7
15,33.13,5.0,76.9,32.17,0.59,1001.1,101.0,198.6,3,9,0,3.57,0.0,19,0,77,1,0.38,12.4
